,0
0,"apparently this is the first review for this company. i can't fathom why others have not reveiwed this company. my 23 year old garage door finally gave up the ghost the other nite. i got quotes from some competitors ranging from 750.00 to 1,100.00 dollars. both companies came immediately said i needed a new door. i expressed to them by budget was limited and a new door wasn't in that budget. a friend said contact aaa action doors. contacted josh (part owner)...told him my budget was limited. he came out took one look at the door,..said we got this it can be repaired w/o question..all that was needed was new metal bracing along the top and middle. he installed the metal bracing in less than 45 min....i had an operating door again..and saved a bunch of money."
1,i was very happy with greg and gc glass.  what i thought would be an expensive window replacement was actually a quick fix with minimal cost. greg is honest and knowledgeable.  will certainly call again if i have any further window repair.
2,"contacted happy handyman for a variety of odd jobs and they sent mark. he arrived on time and was very personable and professional. his work was exemplary, fixing all of the necessary items, and leaving them operating as though them were brand new. would definitely recommend them."
3,"saw another yelper writing that this stadium needs renovation.  nooooo!  leave it the way it is.  i have been to many of the complexes in the area.  while they have done a great job with the architecture of most of them, scottsdale stadium rocks because that it is old, a bit disjointed and cozy.  i went to the talking stick and saw a game yesterday, but left in the 6th inning to make my way to the giants/padre game.  whilst the other stadiums are sleepy and filled with snowbirds melting in the heat, scottsdale stadium is a party surrounding a baseball game.  leave it the way it is!"
4,thanks to shane and to kathy at kleinhenz  for their genuine warmth and professionalism. your repair of a family heirloom is so appreciated!
5,it took a little time for the repair but that's to be expected with quality work the owner even took the time to check on me to see if my product was doing well and if i was happy with my repair.
6,corey and the crew are spot on. they do great work at a fair price and deliver as promised. on time for me and my business is critical.  they have handled several projects and repairs. i have never been disappointed. highly recommended.
7,"lance was out a few weeks ago. busy season, go figure. i had a leak from under the driveway. they found it, rerouted lines and repaired the leak in a day. the cost was reasonable for the amount of time and work they spent. i appreciate lance's straightforward approach. he advised on costs for a worst case scenario which, thankfully, it wasn't. easy to contact and always responds (even though i happened to be out of the state at the time). the team was professional. if repairs are what you need i highly recommend this team."
8,organized and quick... why 4 and not 5.  my ignition switch wasn't in the factory installed spot so i had to repair it and re go through another day and was told by az dot it didn't matter later. so in effect i wasted a day and money on something but... quick and i will come to this location again
9,"i had robert out the first time for repair of my garage door two years ago and he was excellent.  my unit is over 12 years old and needed replacement so i requested him again today.  he is so good, very polite and thorough and explains everything very well.  he can figure anything out.  he did a great job and i highly recommend him."
10,"devon did shower repair for our mid century house.  it was not a typical repair, and many unexpected conditions were thrown at him.  he was a true professional, and his humor did not hurt in the whole process.  highly appreciated his effort."
11,"great place for kids to star learning how to use bow and arrows.  only gripe that i have, some of the arrows are worn out and may need repairs.  
kids had a blast !"
12,"i would recommend crash of rhinos!  our house looks brand new!  we had a lot of stucco repair that was meticulously repaired.  communication was a strength with daily status reports emailed to us nightly and they even kept us on track ahead of time with picking out colors.  finally, our three man team lead by jj had an amazing work ethic.  they started early and stayed late and were always working.  i will be calling them again next time i need painting done."
13,"we took a wooden toy for repair, which was done beautifully, quickly and reasonably. the repaired toy is truly better than new. love the work done here."
14,"ended up getting the dreaded hoa letter saying that i needed to repair our house. i was expecting it because we live on a golf course and have had our fair share of golf balls hitting our house. plus the paint was really starting to show wear so i wasn't too mad about the hoa. ended up getting a few quotes and decided on rhinos. i think the name drew me to them pulse all the great reviews they got. 

mike the owner came over and went over the estimate. he already did his homework and had the sq footage printed out through websites so he pretty much knew his estimate on the way over. my house was in need of stucco repair too. he ended up quoting me a fair estimate. i ended up going through an outside stucco repair and had mike do my paint only. he ended up working with me to meet my budget so i hired hi, on the spot. 

my house is two stories so it took them nearly 4 days to complete but the work was very well done. plus it comes with a 7 year warranty. rhinos uses quality name brand paint and they double coat everything. the quality is very good and i went from being embarrassed on the exterior of my house to be believing that i have one of the nicest homes on the block. 

i like local businesses and rhinos is based in glendale. if you are in the need for a repaint give them a call. you won't be disappointed."
15,pete is the best handyman in town! he gets in and gets the job done! he is super sweet and simply awesome! highly recommend him as a handyman!
16,"i had one wall that had some water damage in need of repair. william was very responsive at getting me quote and fitting me into his schedule. the patch and texture work looks perfect, and they were fast, getting it done in only a couple hours."
17,"i really had a great experience talking to lance.  i have been in it for the last 2 decades and yet he knows immensely more about printers than i.  he was able to explain options to me and was very fair in his suggestions. for example, he gave scenarios where it would be more cost effective to buy a new printer than fix an old one, but also explained situations that would make it better to repair, like if we have a large stockpile of toner.  we were not yet ready to make a purchase, but his options and warranty really made him a great deal.  when it comes time for me to refer other customers to him, he will certainly be my first stop."
18,"they do a good job, but always want to  upsell, which is annoying along with the window repair people."
19,so good! delightful atmosphere and my kids love the bathrooms - very creative and fun place. they are doing renovations now and i can't wait to see how they have changed it.
20,nothing but great is how i can describe this place. i have damaged three devices and taken them all to ifixaz and no complaints at all. they were nice and very competitive on the pricing. and they are very fast with the repairs. very convenient being located in north scottsdale.
21,"wow! amazing people! i went in thinking they did jewelry repair when they only sell jewelry, but the nice woman helped me fix my necklace anyways. i was so flustered at her kindness i didn't even get her name! thank you so much!"
22,we stopped here because the one we wanted to go is closed for renovation. and we are very happy with our decision. we ordered two kinds of noodles and two dishes and mini-dumplings. all are excellent. the waitress is very nice too. highly recommended.
23,i purchased a new ruud ac unit from arizona cold air in 2007 & it worked well for 10 years. when i turned it on for first time this year it was very obvious that something was seriously wrong. i called the company & told them i had purchased a warranty with it & they had all my information. my repair was extensive & totally covered-i was amazed!  great friendly staff & couldn't be more all around totally satisfied by the experience. i highly recommend them!
24,"jim and his crew are friendly, helpful and trustworthy, and experienced in a vast range of home repairs.  they communicate regularly throughout the process and provide step by step details of the job.    having a rental property out of state has it challenges and jim constantly keeps me in the loop, even sending pictures and videos.  i highly recommend all in one home repairs.   the work and professionalism are top notch.   i will defiantly be using them again!!!  thanks jim!"
25,"long overdue update:
not too long after work completed i found some areas on my home that were missed and that i didn't see on the initial final inspection. the house needed some stucco repair and paint touch up on a few areas. when i first called it felt like they were trying to brush off my concerns about the stucco and avoid a trip out. the scheduling also required about a month to have the work completed. 

the workers were amazing and were a pleasure to deal with both times they were on the property. overall, still a great company but wish the follow up could have gone a bit smoother. only giving four stars at this point."
26,"pete and his other handyman was great! they were on time, quick, and did a great job. i would def hire him again."
27,"i read some reviews and they pretty much have defined/evaluated this club by its age and that equipment is older and needs more maintenance. yes, this is true it is older and there are more repairs than newer stuff. and, from my experience in the past 5 years, the amazing value of this particular gym is it being the community it is for me. i don't know about other gyms but this one is a most wonderfully warm group of members and staff. i have learned, that in any situation (after my attitude), it always always thge people that make it what it is.  at this club it's most everyone's (members and staff) friendliness and willingness to be a support. this is what it's about. but, this is not to say that the equipments' condition is not important. it is. i can say that they keep it up really well (the guy who makes repairs is on it...i always see his focus and that nothing stays down for very long). it's not perfect but who and what ever is? so, i would recommend you consider checking this gym out. go right to the manager nathan and you'll see how welcome you really are. he shows it. that's my two cents. paul"
28,i was having issues with fridge water dispenser and called one shot and spoke with gabe. he was extremely helpful and very knowledgable about my issue. he helped locate the cause of the leak and knew where to find the replacement parts it needed. highly recommended for any repairs!!!
29,called for furnace inspection and consultation on potential repair/replacement need prior to selling house. great experience. the technician was on time and very respectful. he took the time to explain everything and answer all my questions thoroughly. didn't push me to buy but gave a good breakdown of potential options and estimates if i decided to replace the unit.
30,i'm a kitchen and bath designer and owner at studio q designs.  i met matt about five years ago.  we have worked together on several small and very large projects.  his attention to detail assist me in providing a high quality finished installation for my clients.  a high-quality finished installation does not only pertain to the finished product but also pertains to the warranty on the installation.  wharton construction and design responds promptly to anything that needs to be repaired.  this is a valued characteristic of a qualified contractor whose concern is with the clients and the finished product.  thank you matt!
31,i called pete for water damage repair after reading great reviews. i am glad i did. my walls look as if nothing ever happened. thank you!!!
32,"i highly recommend robert.  extremely competent, very knowledgeable, very honest. better than all the repair people i have met in 3 (three) states.  very happy experience."
33,"i needed a bedroom window repaired quickly because i had just put my home up for sell and had an offer and inspection happening within days. mark came out the same day i called him and fixed my window in about 30 minutes. not only is mark friendly and professional, his work was excellent and completed at a very reasonable cost. i would highly recommend mark and will call him again the next time i need a repair or remodel."
34,worked with these guys about 10 times over the past few years and found them to be very honest and competent. several times i have misdiagnosed a problem and they have advised me on repairs that cost less or workarounds that they charged nothing for. they do quality and work and finish on time. some of these one star reviews are very unreasonable.
35,"great work.... repair looks good as new - body and paint.  i will use them again and have recommended them to friends.  took a little longer than originally quoted, but they kept me updated and did it right."
