,0
0,show up with no supplies to do the work!!. they start at 8am leave at 10:45 and don't re turn till 4:40. they never stay more than 4 hours a simple repair that would take 4 days is into 3 weeks. i called the boss he can't manage his people at all.
1,"i had new cabinet vanity and faucet installed from this company 2 months ago, it totally messed up, it always leaking in different spots, have to ask lowes plumber re-install everything again, they said this ""call 4 handyman"" didn't installed the right way, for sure this company is sucks, unprofessional, they do ugly work! hope they stop running the business soon!"
2,"wanted to use my groupon, and they were closed for renovation! not sure how long that will last, but you may want to call first if you are thinking of going soon. will update when i can actually go!"
3,"usually i love this salon, but i got the worst pedicure yesterday. the shellac has already come off my big toe, my cuticles hurt from her scraping the polish off as she painted. she almost forgot a top coat, so shaky....so disappointing. they are in the middle of a renovation and there is dust everywhere. not enjoyable."
4,i took my richo wide lense camera in for repair in 2000 when i lived in canada. the staff kept my camera for themselves and refused to return it after i wrongfully assumed they would repair it for a fee. it was in the markham town centre. i just think they are thieves and opportunists with no sales talent. they prey on the weak and vulnerable just like any other predator. thumbs down to all of them...
5,"i hired them to find a leak. they guaranteed their work. marked an x on the spot where the leak was, 100% guarantee no way. i hired a contractor to dig where they marked. 10 feet away they found the leak. this cost me over $2000 extra for my contractor to dig in the wrong place and to repair damaged stone work.  i called them up and they said they dont guarantee location at all. but when they were here they guaranteed this 100%. they made me sign a contract after they found the location which said they are not responsible for anything. i did not read the fine print. this company is unethical.  they also broke several parts in my hot tub where the jets are. they said this was necessary because it was the only way they could find the leak.. 

just a horrible experience from a company that totally mislead me. lots of other companies out there. do not deal with this one.."
6,awful company!!! do not use!!! they came out to my house to repair my month old dryer under warranty and ended up breaking another piece. they also ordered the wrong part which took a month and 3 visits to fix. then when i questioned them they said that they didn't do it and that i needed to submit another warranty claim. i think this was just their way of getting more money out of samsung.
7,"outdated, years of disgusting smell as if it's never been replaced nor cleaned, just very unpleasant!

yes i understand it's a gym and it's suppose to smell like sweat.. yes i understand it's one of the oldest lvacs... but the place needs some serious renovations! 

i will forever be faithful to the lvac on eastern/215.. no matter how close this one is!"
8,"this review is rated pg13 for adult language 

fuck this piece of shit company!  i hate that i had to give them one star.  so on a sunday we turned off the water valve in the garage because we were working on the kitchen sink.  something snapped when it was being shut off and the water supply in our home stopped working.  we called our warranty and they told us this company would call us to schedule an appointment within 24 hours (i guess running water isn't an emergency). 

so today javier from air pro shows up 15 minutes before our scheduled time (thankfully i had just got home) and had attitude before he even stepped into the garage.  i can say with 100% certainty this asshole had his mind made up before he arrived that he wasn't doing the repair.  i offered him water and started to explain the problem when he very shortly and rudely said he would put in the report to the warranty that he didn't see how the valve broke and didn't have the parts to do the repair on him. what?!?  you're a fn plumber! isn't that what you do daily?!  plus, when we put in the claim we explained exactly what happened - wouldn't you want to come prepared?! and also, asshole, you don't know how it broke?!?! how about that valve is probably turned once every 4 years and maybe, juuuussst maybe, it is corroded and rusted, causing it to break??? i'll just leave that suggestion right there for you to play with next time you encounter this problem, you plumbing genius. 

now to the best part - this unprofessional, unbelievably rude, lazy employee writes in his report to our home warranty that the valve was broke because of excessive force causing them to deny the claim.  really?!?!  it was simply turned off!!  then they had the balls to call us and say they will fix it for $900 (another company quoted $320).  

thankfully our warranty agreed that his report sounded inaccurate and they're sending another company to look at it. 

do not use this shit excuse of a company!!!! javier is the worst excuse of a lazy incompetent ""professional"" i've ever dealt with. 

that being said i shall now go wash my fingers in bleach."
9,"my last review of this place was in 2011; it's now 2015.
since then,i don't think anything has been painted, repaired or up-graded.

c'mon, break out a paint roller, dust off a shelf, maintain the equipment.
this place is filthy, dank and nasty.  it's like training in a petri dish."
10,"these people are liers, cost me $$$ in repair bills for my rental.  
i would not recommend them to anyone... 
beware....     they kept my rent and other monies. 
they have very bad accounting skills."
11,"the new renovation only helps out the trainers, they roped off a section that everyone was used to using and continue to kick people off when no one is using it. i just witness one of the trainers kick a girl off, then continue to talk to the person he is training about her, how professional is that. just another reason why no one pays these useless trainers to get trained. just another reason why la sucks."
12,"called them to have 2 windows repaired. they scheduled for 12:00 didn't show at that time, said they would arrive until 2:00, we wait longer. we call , the young girl was very unprofessional and kept making excuses stating that gas was expensive etc ? what does that have to do with showing up ? i asked if they were with the bbb, she replied no. i spent my whole day waiting and decided so far they are unreliable, i cancelled and had it done it 1 hour. very rude, unprofessional."
13,the owner stole a bracelet brought in for repairs and has lied over and over about returning it.
14,i paid for an estimate ($99) from this company and was told that it would be $774 for the repairs to my lg front load washer. plus they wanted me to pay them in cash after taking a check for the estimate. i chose not to work with them on this repair because i felt that they may not be around to warranty their repairs. i then had someone from lg come out and the same repairs were $324 instead of $774. buyer beware...
15,"awful awful awful. wonder how it's still in business. had our equipment for weeks without a repair and poor communication, not returning calls,etc. they said one week max and my husband picked it up four weeks later in the exact same condition. do not waste your time!"
16,"they advertise they fix the galaxy s6 active on their website but this place turned me away saying they would even attempt it repair it.

they refer you to your ""warranty"".  if i had a warranty i wouldn't be here! 

the guy was polite enough but don't say you fix the s6 active on your website when you don't."
17,this is a poor attempt to save face.   but i can post a signed document from the named executor that will prove that we were up sold for your profit and to take advantage of a family with a limited budget.  disappointed.   i can also add that you failed to have the dvds available and operational for the church at the viewing.  these mistakes are unrepairable.  you only get to have a funeral once.   instead of trying to save face.  try apologizing or reimbursing the family for one of many huge mistakes.
18,"manager had bad communication and was unprofessional.  we were told we earned our deposit and house looked amazing at walk-through...then got call a week later that the owner wanted repairs done for $150.  we were told to ""get a lawyer' after expressing our frustration.  we were told we were amazing renters...well  you just lost us due to your unprofessionalism."
19,pretty bad. my faucet was leaking and after 4 plumbers it is still leaking. they have done several repairs but none of them seem to work.
20,installers aren't as well versed as they think they are on the modern technology they are selling.  i had a horrifying experience with this company and ended up with no air conditioning for 7 hours.  an emergency 24/7 professional had to come out and repair what prolink messed up.  do yourself a favor and don't open the door if they come calling.
21,"went there today only to find a big sign on the door that says ""closed for renovations"" which is never a good thing in my experience.  sign says ""maybe we'll open by wednesday"" but of course which wednesday is not specified.  noted that several other people were coming to the door and being disappointed.  too many dim sum places closing--not a great trend.  hope this is truly just for renovations."
22,have to take these guys to court....is giving them a zero star an option?  i have been without ac in half my house for a month and a half.  it took sending out 4 of their own guys to come to the conclusion that they would pay no more than $ 500 for a $3500 repair...and that was after i had to get two outside opinions on my own dime and provide 2 years of maintenence proof.  even after all that was done...they continue to be rude and unethical....even though i have a recording of robert telling my fiance the unit would be covered in full where anthony and kevin said nothing will be covered....expect a slap in the face $500.
23,this is the worst idea ever. the bus tool forever because it kept stalling and we had to stop on the strip and everywhere else. i never did this shuttle before and i never will. not worth the ten dollars you save one way. i almost got out and walked if it wasn't for the two suitcases. bus 2058 needs repairs.
24,"this was one of the worst experiences of my life.  trusted that this company would look after my property and after paying them 10% of my rent received for years.  the property was returned to me with thousands of dollars in repairs needed and after speaking to a friend in law enforcement they told me that all signs led them to believe that there had been a  ""grow room"" in my downstairs bedroom (the vents were tampered with, electrical was pulled from the wall and all paint had been stripped from the walls)

when asked about the damages i was told ""we can't live with them"".  i asked how they could miss all the damage !!!  don't make the mistake of trusting this company .... you'll be sorry !!!"
